Autonomous communities,Year,GDP,Population,GDP per capita,Domestic Waste and Wheelie Bins -C,Bulk -C,Metallics waste-C,Waste Glass-C,Waste Paper and Cardboard-C,Plastics-C,Waste Wood-C,Textile waste-C,Electrical waste-C,Battery-C,Animal-C,Mixed packaging-C,Sludge-C,Construction-C,Others-C,Total mixed waste-C,Total separately waste-C (tn),Total Waste-C,Recycling collection-D,Mixed Recovered Mater-D,Composting/anaerobic digestion FORS-D,Composting/anaerobic digestion-D,Incinerated-D,Landfill of rejects,Landfill without pre-treatment-D,Total Waste disposal (tn)-D,Total(tons/day),Per Capita(kg/capita/day),Processed_waste,Not Processed_waste
PAÍS VASCO,2015,64989988,2189257,29685.87,659754,8447,430,58948,117879,1398,9920,11907,4776,109,8509,38244,0,22408,3426,668201,277954,946155,299476.0,11467.0,14178.0,54587.0,261348.0,93742.0,232626.0,967424.0,2592.21,0.43,641056.0,326368.0
PAÍS VASCO,2011,64130843,2184606,29355.79,680888,11062,1457,54202,165214,6164,25947,1349,2056,149,17323,30848,0,51217,883,691950,356809,1048759,282538.5,18230.75,9359.25,37570.75,246750.5,85931.375,217668.5,898049.625,2873.31,0.48,594449.75,303599.88
PAÍS VASCO,2010,64680368,2178339,29692.52,694220,24083,2402,54075,169542,7922,22625,1097,2092,157,16071,31046,668,42783,7270,718303,357750,1076053,280844.75,18907.125,8877.375,35869.125,245290.75,85150.3125,216172.75,891112.1875,2948.09,0.49,589789.12,301323.06
PRINCIPADO DE ASTURIAS,2016,21694246,1042608,20807.67,395702,2222,563,37945,62374,473,4004,0,708,8,13728,10867,0,9315,36,397924,140021,537945,83.728,0.0,2.481,0.0,0.0,4908.0,390873.0,48199.0,1473.82,0.52,-347582.0,395781.0
PRINCIPADO DE ASTURIAS,2012,21364846,1077360,19830.74,397887,5563,999,33534,55682,864,1826,136,939,74,6287,10016,0,20357,1105,403450,131819,535269,122629.25,0.0,15969.75,0.0,0.0,4353.0,383264.5,526216.0,1466.49,0.5,138598.5,387617.5
PRINCIPADO DE ASTURIAS,2015,21372587,1051229,20331.05,388188,15971,750,33197,56253,953,3561,579,2296,21,7284,10476,0,22320,434,404159,138124,542283,145502.0,0.0,12009.0,0.0,0.0,4287.0,397120.0,558919.0,1485.71,0.52,157512.0,401407.0
PRINCIPADO DE ASTURIAS,2018,23258673,1028244,22619.8,388505,15404,813,16425,41766,943,3534,1234,2260,21,4879,12696,0,12409,44,403909,97024,500933,83728.0,0.0,2481.0,0.0,0.0,4908.0,390873.0,481990.0,1372.42,0.49,86209.0,395781.0
PRINCIPADO DE ASTURIAS,2017,22592548,1034960,21829.39,384797,8016,827,32131,53924,537,3176,882,1505,11,18226,11443,0,16007,29,392813,138698,531511,124207.0,0.0,15582.0,0.0,0.0,5366.0,386960.0,532115.0,1456.19,0.51,139789.0,392326.0
PRINCIPADO DE ASTURIAS,2014,20652899,1061756,19451.64,378646,15728,757,32687,49754,962,3595,504,1907,17,7365,9984,0,22534,438,394374,130504,524878,115005.0,0.0,17290.0,0.0,0.0,4375.0,378646.0,515315.0,1438.02,0.49,132294.0,383021.0
PRINCIPADO DE ASTURIAS,2010,22733586,1084341,20965.35,444310,6488,584,31626,93158,339,56,0,1679,202,7767,10284,0,19839,1375,450798,166909,617707,124535.3125,0.0,15639.6875,0.0,0.0,4347.5,384419.125,528941.25,1692.35,0.57,140174.62,388766.62
PRINCIPADO DE ASTURIAS,2011,22375426,1081487,20689.5,429491,5301,439,33763,67252,69,61,0,933,79,18626,10332,0,10217,827,434792,142598,577390,126441.375,0.0,15309.625,0.0,0.0,4342.0,385573.75,531666.5,1581.89,0.53,141750.75,389915.75
PRINCIPADO DE ASTURIAS,2013,20746770,1068165,19422.81,379965,9605,541,32817,58682,679,1942,106,787,6,7895,9944,0,16924,339,389570,130662,520232,130253.5,0.0,14649.5,0.0,0.0,4331.0,387883.0,537117.0,1425.29,0.49,144903.0,392214.0
REGIÓN DE MURCIA,2013,26566278,1472049,18047.14,606321,3814,190,22132,7474,106,741,215,372,108,4671,12401,0,1793,2887,610135,53090,663225,69800.5,17241.5,1751.5,115894.5,862.5,471407.0,11464.5,688422.0,1817.05,0.45,205550.5,482871.5
REGIÓN DE MURCIA,2018,31198376,1478509,21101.24,639712,7768,316,26263,20879,133,2129,560,1311,40,9046,18170,0,3612,15,647480,82474,729954,82964.0,26423.0,0.0,125286.0,0.0,484148.0,23251.0,742072.0,1999.87,0.49,234673.0,507399.0
REGIÓN DE MURCIA,2016,29369879,1464847,20049.79,613940,10283,242,24485,17864,1512,859,564,965,95,5177,14860,0,2587,81,624223,69291,693514,82.964,26.423,0.0,125.286,0.0,484148.0,23251.0,742072.0,1900.04,0.47,234673.0,507399.0
REGIÓN DE MURCIA,2017,30538493,1470273,20770.63,640121,13814,240,24809,18764,694,1427,574,1688,61,4812,16144,0,1849,12,653935,71074,725009,81408.0,19962.0,0.0,141790.0,0.0,492496.0,0.0,735655.0,1986.33,0.49,243159.0,492496.0
REGIÓN DE MURCIA,2012,26508820,1474449,17978.8,579368,3488,263,22590,8430,1512,560,328,564,120,7402,15688,4,2142,123,582856,59726,642582,65812.75,15186.75,875.75,107281.75,431.25,478552.0,11066.75,679206.5,1760.5,0.44,189587.75,489618.75
REGIÓN DE MURCIA,2014,26712051,1466818,18210.88,596188,11546,196,21991,12864,172,801,142,1971,606,4788,12795,0,12079,754,607734,69159,676893,61825.0,13132.0,0.0,98669.0,0.0,485697.0,10669.0,669991.0,1854.5,0.46,173625.0,496366.0
REGIÓN DE MURCIA,2010,27912742,1461979,19092.44,711540,15924,817,74000,22561,4404,871,46,1752,218,52953,13236,1,472,8708,727464,180039,907503,66809.6875,15700.4375,1094.6875,109434.9375,539.0625,476765.75,11166.1875,681510.375,2486.31,0.62,193578.44,487931.94
